Link,Num_Units,Service_Time,Service_Dist
5666,13,3998.7645742772825,4283.177744371584
84218,2,870.5482450842434,1009.4875620311359
1801,2,1191.0708785725308,3158.722922927118
10294,37,9939.89863175419,5497.75568900886
8720,11,3282.2973363861574,2697.568192128907
6573,1,986.2823199028751,176.23370520479511
3694,1,1199.2217079366749,1604.0794005588396
6676,1,1068.2182230766396,725.6474502233323
84162,3,1026.8524711438747,448.27316368266474
4125,3,1204.9983709604364,1642.8142889613518
6193,7,2313.4591229429134,2638.3043558979407
4784,14,3807.826542629423,1393.5619756107917
83789,2,788.4751490766462,459.15388294577133
3478,37,10170.360499941838,7043.09678101365
5977,2,972.3784412720858,1692.3006790707586
6369,7,2001.4527511611093,546.174013150041
86793,3,1396.8054344984291,2928.9591048173606
83834,1,1024.9941464629383,435.8123365865322
86270,1,1030.8288384607,474.93633299530484
2433,4,1426.8685547323716,1521.2464555143379
1043,2,1074.4797482361166,2376.931704757153
6571,2,773.4714838920389,358.54817093454767
6567,2,789.1296406335111,463.5425165412016
2567,3,1114.6799723625977,1037.1924834327074
7003,3,1094.5453124334058,902.1813529285137
4496,2,1724.7112190102348,6736.9996804441325
4288,53,13762.019320669795,5377.867595014279
4058,1,1055.0359373081187,637.2548321957001
10320,1,1145.4684375734646,1243.6417360759806
5450,3,1621.8404011549974,4437.910602290998
10329,1,1102.506228612979,955.5625521657057
5341,1,1158.740752411311,1332.6380358380266
7891,4,1636.351239351981,2925.9135405810084
83798,3,1155.638591465524,1311.8367778197862
5707,9,2659.4151002050376,1739.4843554204563
7183,4,1263.1397706323698,423.3779881473165
3208,2,993.9279799415076,1836.7991502559744
7850,4,1390.1742525291631,1275.1961501732003
1725,1,1250.935007376158,1950.838225588901
4733,1,1011.6057192840697,346.03745608450845
83431,9,2594.735999806739,1305.78453156061
5658,4,1375.988229455537,1180.0730629562167
6915,1,1021.4071304088443,411.7599267468322
7938,3,1238.8219562427983,1869.6152631390141
5352,1,1034.1896885561591,497.47220757370815
4234,10,2750.1592481194257,738.662817072589
4385,18,5375.856670456035,5470.6526852215175
5779,1,986.011294427054,174.4163685318781
84141,2,779.6254106621499,399.8127670685062
7410,1,1019.5164964791547,399.08245292236097
4275,30,8315.82531005706,5872.766942716087
5396,6,1771.9647046418056,616.6609609419247
8462,2,935.5389563107854,1445.2768639525166
84514,2,752.0437225666858,214.86626665189397
7534,1,1077.9289678399293,790.7619658466429
6834,3,1018.034188959838,389.14297469716985
2195,1,1015.2330811189266,370.36040088685695
6895,5,1499.0395478719413,395.8843174247304
1203,1,1057.1522348729745,651.4454729971476
4012,1,1012.4327718357689,351.5831817329163
5089,31,8893.011040543832,8133.735184692661
9893,13,3618.0258387362546,1730.1687890227186
2100,8,2499.8039426866267,2278.5244257037994
83721,1,987.0484376932616,181.3708383544581
7705,6,1963.397095480885,1900.2934430993628
4320,21,5980.206331950662,4695.169861090719
9029,1,1166.7810247735383,1386.5513507389696
86262,4,1413.6331430386103,1432.4976064278744
1126,1,1265.0252748134706,2045.3192320974777
83825,28,7636.034362077469,4533.086916031316
5550,1,1153.9602491490741,1300.5828060957137
2586,1,1043.2425686220995,558.1754713149276
5942,3,1017.5907935472087,386.1698270934867
6307,2,957.0404026457802,1589.4528563641943
9492,3,1239.424536659153,1873.65581130411
8797,1,1032.4853164717829,486.043695608736
4745,2,802.2390393484498,551.4463970615761
4820,1,1015.0693970586098,369.2628323107492
87280,2,886.2489068927521,1114.7669214981142
5539,6,1799.77195580089,803.1199539621593
85996,3,1093.362705565793,894.2514901595423
84511,2,761.1805978777661,276.13275286834687
6835,1,978.9668424619608,127.18043671408668
7012,2,825.3157348911473,706.1850797350053
6070,1,1198.00007408571,1595.8878459032858
4284,15,4521.2465154934325,4568.036536612199
4436,12,3663.096244458514,3641.6824617245
2641,8,3448.8586103294456,8642.324164032936
6942,3,1049.738103049404,601.7306865181308
10806,2,907.1687347815025,1255.042924328358
2254,6,1776.9379048330943,650.0083024123451
4708,6,1989.9081965797543,2078.0612198016606
9815,11,3349.5323692197258,3148.4065884201555
10388,42,11490.257288069619,7847.0537867877865
5908,5,1543.8664141898826,696.4667916174512
5888,9,2695.2852550832076,1980.0084158462705
6231,2,752.383955587433,217.14766822149977
9886,2,893.3402440526198,1162.3172377243172
84952,1,1036.551100433105,513.3064400968142
7202,3,1138.3344143970737,1195.8051926491316
