Link,Num_Units,Service_Time,Service_Dist
3379,6,2078.2152863686597,2670.196377080865
8635,8,2397.2398383919062,1590.7901546171634
85084,20,5315.549362915604,1847.6711862914963
808,18,5260.812682096314,4699.23568683269
1845,1,1141.1053225303233,1214.385265066987
4010,1,1025.5655163209608,439.64360519195907
7610,2,827.3753380129956,719.9955611063633
6146,15,4861.349548721835,6848.566486735595
3756,2,925.7355581383474,1379.5410693228478
3812,2,1013.6404627737003,1968.9794106417103
5673,1,1022.415503217,418.5214788801968
1387,2,1308.9149311122496,3948.915496952948
5829,2,796.9450453798974,515.9480021003401
8717,10,2861.8832239936605,1487.8177737616934
8022,8,2415.781244927364,1715.1178694280097
5436,1,1082.1927835680563,819.352594332071
3542,27,7896.32501789055,7887.74039712036
83015,6,2068.5973843005004,2605.704409703845
2044,1,1223.5178264490064,1766.9948130241828
85129,1,1012.1648146823381,349.7864194166614
7764,2,946.8721470265655,1521.2705433162628
5641,10,3186.725601399382,3666.0187845287146
8705,8,2579.1290817635595,2810.431929572369
6450,8,2474.1379239323105,2106.423271785723
3283,3,1046.612767118303,580.7740307440981
84957,5,1496.0770203608145,376.0193587001413
2838,34,9641.934672865853,8327.679970043711
1759,1,1185.5198016945358,1512.20251471526
8476,9,2693.6582577860527,1969.0987334782258
3101,7,2541.221389387991,4165.543514000834
3870,2,755.4473791700132,237.68917637469713
1412,3,1171.7948809558238,1420.1713072585408
2767,1,1199.1944097127457,1603.8963548016036
7917,22,6068.230861697769,3676.112170525943
8315,4,1366.6647024568326,1117.5550008281134
4274,12,3554.6575408303815,2914.556599220261
8639,4,1408.1695383604424,1395.861902282806
3796,14,4296.3728738329055,4669.464956411975
501,1,1288.408107470471,2202.1106893415563
3315,1,991.2561114794696,209.585012155585
87161,2,826.5958223722242,714.7685898897471
2631,16,4768.884091030338,4619.2496045843
3766,19,6357.884542391069,10446.253078169888
3822,1,999.004635792214,261.54203705105465
86885,2,846.4154910700832,847.6675753470045
5830,4,1314.1544856088685,765.4525186110986
2561,3,1273.0714408364345,2099.2720664043445
336,1,1796.244583312462,5607.36198019085
3434,4,1377.2557613572924,1188.5723828159971
21914,30,7744.25383058978,2040.1463830338325
1738,1,1142.2380849946148,1221.9809007238364
21917,11,3349.180586935424,3146.047744314419
296,5,2681.0767447601024,8321.927211176371
6322,12,3492.6423841584156,2498.719607678242
1669,2,1099.4605883422732,2544.4384555807337
7618,3,1053.9589637329816,630.033283859957
9108,1,1035.5364240624995,506.5026199988788
872,3,1041.449342978435,546.1511598911602
6317,5,1731.0533996675272,1951.6320943285245
8487,3,1148.330904894753,1262.835750300088
7783,5,1640.2134146586427,1342.5128385693533
2873,12,3666.687214416464,3665.7613841068232
6535,7,2242.0808519058446,2159.6838527437067
1857,1,1083.4543105148123,827.8116485123755
2853,4,1621.0530323467974,2823.3328051863937
6320,9,2807.7939878322295,2734.4254883698886
3661,2,843.8604049134269,830.5346775598591
5246,2,1202.0506761557342,3232.3469567885622
4242,3,1235.2823067835548,1845.880465692142
527,5,1521.2735769449903,544.972576743341
5737,5,1966.7360507782196,3531.9806712889113
6773,2,788.8339160888345,461.55956250894815
3115,5,1793.8119227727616,2372.45366186474
5642,11,3285.5230025568067,2719.1976031971863
82878,6,1934.5463548437585,1706.8374263104051
575,1,1371.7798804826898,2761.1525289407
7057,9,2739.1295261446357,2274.002186933183
87426,1,986.8376639263403,179.95751403446775
21830,22,6018.127030112757,3340.1454857806675
6707,13,3801.5221386007793,2960.586535096867
7054,2,758.4849771877244,258.0575135520194
5857,29,7831.645941668549,4235.444400996086
3292,9,3412.089953575957,6786.477113830741
5222,11,3164.5885673026214,1908.2827490117634
85093,6,1946.6644262445811,1788.0940517070703
5803,9,3016.699385106704,4135.221625659615
6656,1,1015.619913689613,372.9542714994168
8492,11,3378.832899307525,3344.878627453232
82952,1,1015.7046313403667,373.52233799977694
3808,2,1281.6487667755184,3766.084712397307
83241,8,2576.1209644155747,2790.2612723440398
82858,8,2323.942568436964,1099.3019787905505
2536,5,1890.6207105009294,3021.5961812757887
6751,11,3178.7400040314833,2003.1739206402563
6020,6,2238.265025535279,3743.3953433299903
3678,5,1655.762432559845,1446.775363610941
83035,1,984.1752764766472,162.1051171880681
8238,3,1172.6144935660282,1425.667145056068
295,36,9040.891206915421,1078.841351690353
5241,46,12948.92090005038,11190.797273471486
