Link,Num_Units,Service_Time,Service_Dist
3133,3,1190.1377256008327,1543.1675833761692
3315,1,990.5456966124073,204.8213898909744
2951,58,15112.680680796115,6388.1136396699585
241,6,2980.358972606868,8719.438797095674
2810,18,5204.29285449222,4320.247124444926
2468,12,3853.839054364602,4920.6910216669785
4213,2,1057.3217188617973,2261.8800996544305
21840,10,2945.783570926005,2050.4039176978404
2265,3,1046.1070588593843,577.383050018223
3905,2,804.0078053556796,563.3066966183251
284,4,1484.6052015103064,1908.394288178184
2226,5,1758.289697090303,2134.262609009631
4256,1,1172.3093781094015,1423.6212211180246
3356,8,2368.5214530388957,1398.2216341454769
21880,27,7099.603636683801,2545.397653221735
2109,10,2720.9997253500283,543.1362897856161
2952,28,7674.150977564725,4788.674413710716
2995,8,2751.8671027941036,3968.7110156064155
3388,11,3571.3991266460907,4636.113947112812
2009,2,841.1599092037457,812.4267492428189
4324,4,1416.8103236732115,1453.8019021449145
4606,1,1042.4085326717727,552.582919122302
219,10,3932.435125068817,8666.306158262072
21801,1,1331.213962705574,2489.1414575697854
4258,7,2391.0882933607736,3158.839696205454
481,2,1304.4817382866388,3919.189125748584
255,36,10101.033944613153,8187.532038085512
83080,3,1044.1173253803709,564.0410731808515
301,25,8654.947183298013,16193.208649740787
2186,1,1071.3954248280913,746.9518875374924
3712,16,4446.314412014645,2456.2879661241313
4248,11,3147.617687384925,1794.486057565431
2764,1,1140.206553076655,1208.3586482565152
3254,2,934.2034552425665,1436.3217830301728
902,1,979.9526252585763,133.79051358008292
1294,1,1196.305677890096,1584.5262263529003
2751,2,911.5802581775276,1284.623993143905
2857,10,3167.011538373896,3533.8279283005977
874,2,845.354503882065,840.5532222758047
1277,2,1135.7043445290853,2787.467665595119
681,5,1499.8044563740277,401.0133418017067
21964,25,6663.927578429286,2842.6078124449123
82977,1,974.8886970457487,99.8348036147654
4541,4,1702.4219326789098,3368.9445642305072
2300,33,9284.15678852029,7537.931080824463
3117,1,1019.1392906513896,396.55313355871476
2414,2,1065.6590811483416,2317.7855240165954
3978,22,6375.7734626130205,5738.311103797634
86898,2,834.1709374529289,765.5628349548206
2224,8,2758.795026827216,4015.1655799768632
2846,4,1637.186205669758,2931.512331267935
3800,7,2138.2904078717684,1463.7264720950043
871,1,978.0922734523535,121.3160937797511
424,3,2234.9923927773957,8549.345503648161
1931,1,1189.6292387325354,1539.757970937877
272,2,978.7480612026511,1735.0115860705264
3128,7,2134.0802541696057,1435.4956694430439
4185,4,1927.1830454119004,4876.059759132098
21856,7,2158.638693160249,1600.1700480123982
2122,7,2040.4464285353602,807.6425695263315
1022,1,1100.1603868577376,939.8327236772748
1592,1,1036.425174592424,512.4620558276074
2858,30,8583.735025643206,7669.211168818991
413,3,3527.572912672808,17216.626593693392
83022,1,987.8156492475966,186.51530563877895
22077,38,9842.516492448985,3235.4704455676256
21956,2,822.4295892105031,686.8322924262611
21876,6,1998.786314324709,2137.592630697647
87320,8,2401.5317546146607,1619.5692084130133
1617,1,1177.3154806868793,1457.1891865459038
2631,29,8037.218449521231,5613.892151461099
2547,8,2843.6890829670856,4584.414950606297
2839,11,3502.7524649410543,4175.810001839884
83016,36,9655.92198658006,5202.874295351328
2325,8,2322.3683335884807,1088.7460902222665
1306,2,751.2146757116795,209.30716838408262
2989,4,1593.1520230062529,2636.2451252095634
927,2,879.1724445212908,1067.3163468124112
2251,1,1074.3489448355292,766.7564472655067
1070,1,1107.9653430871183,992.1681476561353
1857,1,1111.7010819516242,1017.2178047717316
2107,2,737.8812989244472,119.9014232752379
1599,1,1117.658268314203,1057.1631760004675
21909,5,1771.8555348348984,2225.2270999210887
87528,3,1088.9476319529704,864.6466156882234
1618,2,1415.5291365358948,4663.807352721691
4143,3,1018.9552615032973,395.3191428473219
2807,38,10710.528122702763,9055.843469173647
3132,10,4070.173332756929,9589.897179863183
1870,2,1061.8778685771033,2292.430947097251
1499,3,1297.8092639653091,2265.1492889940273
3355,1,1005.7070932519335,306.48475582432
2632,3,1110.772402829561,1010.9906314007239
21792,1,1191.6403371966926,1553.2432087395573
2564,18,5538.81610527187,6563.362350951298
1860,11,3272.665340328468,2632.981718787225
302,2,1782.8215481348157,7126.6532060895115
1730,2,1081.4381089950527,2423.5903598237783
2590,1,1001.8991774214035,280.95112262899056
2871,2,904.7425286509854,1238.7742198322667
